ts,doc_id,announcement_title,section_name,match_strategy,found,page_start,page_end,char_len,quality_issue
2026-06-08T02:53:16Z,1225290815,关于收到江苏证监局警示函的公告,inquiry_attention_body,anchor_regex,1,1,3,1850,
2026-06-08T02:53:16Z,1225290815,关于收到江苏证监局警示函的公告,regulatory_measure_body,anchor_regex,1,1,3,1850,
